route_carrier,Quarter,fare_mean_change,risk_change,demand_c_change
ATL-LAX_WN,1,-24.84803793103447,0.004100041000410004,0.1484200051182727
ATL-LAX_WN,2,-8.433986486486504,0.001831501831501832,0.2876820724517808
ATL-LAX_WN,3,24.525837312113197,-0.0036231884057971037,-0.14310084364067333
ATL-LAX_WN,4,58.172672596585755,-0.001811594202898545,-0.9055667685111795
ATL-ORD_AA,1,20.854077695527053,-0.01247779144458111,-0.8651634539226132
ATL-ORD_AA,2,-11.295152289942166,-0.007326007326007328,-0.5553422771580401
ATL-ORD_AA,3,-27.514046590267355,1.3877787807814457e-17,0.6091036203114344
ATL-ORD_AA,4,-12.8174001168899,-0.009057971014492752,0.1817386363460871
ATL-ORD_DL,1,26.138399999144127,-0.01247779144458111,-0.051452475137628184
ATL-ORD_DL,2,4.235043229128223,-0.007326007326007328,0.09868191663169412
ATL-ORD_DL,3,9.688759396220092,1.3877787807814457e-17,0.10082818556735162
ATL-ORD_DL,4,4.1551972846264675,-0.009057971014492752,0.23373585063715652
ATL-ORD_UA,1,32.136054558712146,-0.01247779144458111,0.16233905720661657
ATL-ORD_UA,2,7.3874303674748205,-0.007326007326007328,0.12718948609923864
ATL-ORD_UA,3,7.558775653294305,1.3877787807814457e-17,0.13440034147982072
ATL-ORD_UA,4,15.761037152014666,-0.009057971014492752,-0.029772158333669196
ATL-SEA_DL,1,-5.884184786039214,-0.03446767801011341,0.08888082083125326
ATL-SEA_DL,2,-35.89225460130723,0.001831501831501825,0.2523866994537709
ATL-SEA_DL,3,-13.051484575496886,-0.010869565217391311,0.036956329653230924
ATL-SEA_DL,4,-11.359267565258904,-0.018115942028985504,0.2155019719272424
DEN-ATL_DL,1,-4.320905615523259,-0.014452644526445263,-0.017740356973723337
DEN-ATL_DL,2,-16.364847422688996,0.010989010989010992,0.04106882508934717
DEN-ATL_DL,3,-17.30994011949997,0.0018115942028985588,0.049981617321043004
DEN-ATL_DL,4,8.282844437341055,-0.009057971014492752,0.13798082654097144
DEN-ATL_UA,1,12.47982400969778,-0.014452644526445263,-0.1778142760635273
DEN-ATL_UA,2,-10.507190723389186,0.010989010989010992,-0.039300450551492006
DEN-ATL_UA,3,15.451093703099048,0.0018115942028985588,-0.14141165404982914
DEN-ATL_UA,4,15.936786599908942,-0.009057971014492752,-0.14013643645244667
DEN-ATL_WN,1,-25.920039279246453,-0.014452644526445263,0.26776535781346844
DEN-ATL_WN,2,-34.51717442479065,0.010989010989010992,0.21388563891189527
DEN-ATL_WN,3,-3.740333487370947,0.0018115942028985588,0.14480735256637178
DEN-ATL_WN,4,5.98330809532473,-0.009057971014492752,-0.038384243008314556
DEN-DFW_AA,1,7.181366512126573,-0.02014486811534781,-0.0013104444281299976
DEN-DFW_AA,2,-7.222718345158654,0.005494505494505489,0.13996604483530106
DEN-DFW_AA,3,-16.223810997222103,-0.0036231884057971037,0.08603354419490827
DEN-DFW_AA,4,-11.490949809664443,0.0018115942028985518,0.1182469651474225
DEN-DFW_UA,1,42.08497343124529,-0.02014486811534781,-0.27346517106849433
DEN-DFW_UA,2,31.447707349935,0.005494505494505489,-0.01740519668247309
DEN-DFW_UA,3,24.733946522166207,-0.0036231884057971037,-0.08922213691731162
DEN-DFW_UA,4,8.660255455455427,0.0018115942028985518,-0.013423020332139934
DEN-JFK_DL,1,19.74615256738909,-0.007154571545715457,0.06980886500428074
DEN-JFK_DL,2,-8.937039123595042,0.001831501831501825,0.06773724437676254
DEN-JFK_DL,3,24.627906597811716,0.025362318840579712,-0.16277696072098458
DEN-JFK_DL,4,-5.566460566312486,-0.00905797101449276,0.1457878134614985
DEN-LAX_DL,1,33.28964327619761,0.018607352740194073,-0.1910862700148419
DEN-LAX_DL,2,-4.40665854608406,0.005494505494505492,-0.03460195443588532
DEN-LAX_DL,3,6.119418568670341,0.009057971014492754,-0.0927181222426503
DEN-LAX_DL,4,-26.730621203408646,0.0036231884057971,0.23895472037997934
DEN-LAX_UA,1,38.64492045798784,0.018607352740194073,-0.13218111929593945
DEN-LAX_UA,2,11.26336916080129,0.005494505494505492,-0.1863869623048231
DEN-LAX_UA,3,14.719051393875304,0.009057971014492754,-0.21012891650367216
DEN-LAX_UA,4,-4.321173891117667,0.0036231884057971,-0.04655736460500037
DEN-LAX_WN,1,14.104930452168418,0.018607352740194073,0.11256171607600152
DEN-LAX_WN,2,-7.822681038658487,0.005494505494505492,0.036018299189155556
DEN-LAX_WN,3,6.804758744595205,0.009057971014492754,-0.03842215725973652
DEN-LAX_WN,4,3.155769863811173,0.0036231884057971,-0.09119464736852301
DEN-ORD_AA,1,1.2498415170884982,0.0020295202952029592,-0.34922538978528817
DEN-ORD_AA,2,-34.226255505160054,-0.003663003663003664,-0.1313645445394327
DEN-ORD_AA,3,-27.52592553929253,0.012681159420289856,0.19272919363072738
DEN-ORD_AA,4,-29.491967154437305,-0.0036231884057971037,0.17095779814363965
DEN-ORD_UA,1,29.07822908627452,0.0020295202952029592,-0.15751957689336393
DEN-ORD_UA,2,-22.24109099314657,-0.003663003663003664,0.057912085909732625
DEN-ORD_UA,3,1.2963556226495143,0.012681159420289856,-0.03747937302356519
DEN-ORD_UA,4,-12.948460152092736,-0.0036231884057971037,0.06837558137087285
DEN-ORD_WN,1,-16.7029345842067,0.0020295202952029592,0.28163021869628935
DEN-ORD_WN,2,-31.378308801251478,-0.003663003663003664,-0.06445272473238717
DEN-ORD_WN,3,-6.77157017655864,0.012681159420289856,-0.1808627673302956
DEN-ORD_WN,4,-3.0283376109292703,-0.0036231884057971037,-0.24125186238788832
DEN-SEA_DL,1,6.8257828739562,-0.019960366270329377,-0.04316198778801272
DEN-SEA_DL,2,-30.38703139260906,0.005494505494505489,0.1731821894614054
DEN-SEA_DL,3,-34.98663573085847,0.0018115942028985484,0.0
DEN-SEA_DL,4,-19.95681661683895,-0.012681159420289856,0.016874647100550533
DEN-SEA_UA,1,-3.5242455373688415,-0.019960366270329377,-0.004528309624747706
DEN-SEA_UA,2,-28.12761592273796,0.005494505494505489,-0.11769547381577805
DEN-SEA_UA,3,-3.820863436417625,0.0018115942028985484,-0.21228304455169678
DEN-SEA_UA,4,-4.594841068763884,-0.012681159420289856,-0.0056864491165589115
DEN-SEA_WN,1,-11.517971729595729,-0.019960366270329377,0.13733802074608548
DEN-SEA_WN,2,-22.349650208113133,0.005494505494505489,-0.08404212772433883
DEN-SEA_WN,3,-10.700494253740857,0.0018115942028985484,0.03533607990680654
DEN-SEA_WN,4,-9.142409016076186,-0.012681159420289856,-0.053362535078131046
DFW-ATL_AA,1,28.52824650493639,-0.03465217985513189,-0.016658096105022224
DFW-ATL_AA,2,20.22470408339524,0.001831501831501825,-0.005998818229253189
DFW-ATL_AA,3,8.659191905022936,-0.01630434782608696,0.05419047264160248
DFW-ATL_AA,4,10.313036281577126,-0.0036231884057971037,0.03473841071378203
DFW-ATL_DL,1,33.66481414312088,-0.03465217985513189,0.034106138877241676
DFW-ATL_DL,2,26.125427022481176,0.001831501831501825,-0.00044101434011345475
DFW-ATL_DL,3,17.005119955662764,-0.01630434782608696,0.0315926590369493
DFW-ATL_DL,4,6.513253518114482,-0.0036231884057971037,0.13670692827387398
DFW-DEN_AA,1,1.321031879514635,-0.02014486811534781,0.0015400413721415873
DFW-DEN_AA,2,-6.369398897757804,0.005494505494505489,0.10884390297184865
DFW-DEN_AA,3,-16.45717153582754,-0.0036231884057971037,0.07445495889284715
DFW-DEN_AA,4,-11.011142464648515,0.0018115942028985518,0.09526943083832329
DFW-DEN_UA,1,44.99871864512099,-0.02014486811534781,-0.2264092411770937
DFW-DEN_UA,2,31.033260536192984,0.005494505494505489,0.031618318518048305
DFW-DEN_UA,3,23.868770388583755,-0.0036231884057971037,-0.13017038216168153
DFW-DEN_UA,4,11.018790403644914,0.0018115942028985518,-0.03142036158969397
DFW-JFK_AA,1,80.54878966440697,-0.02735410687440208,-0.27335842009847067
DFW-JFK_AA,2,21.05398004390196,-0.007326007326007328,-0.018212982360545027
DFW-JFK_AA,3,-15.542565319186195,0.0072463768115941934,0.07300219581523759
DFW-JFK_AA,4,-17.08903124622998,-0.0036231884057971037,0.03311560878449704
DFW-JFK_DL,1,48.75065237965862,-0.02735410687440208,-0.018326719405564518
