Year,Quarter,Origin,Dest,t100_passengers,seats,departures,scheduled_departures,load_factor,scheduled_minus_performed,performed_scheduled_ratio
2023,2,LAX,DEN,237243.0,269882.0,1719.0,1758.0,0.8790619604123283,39.0,0.9778156996587031
2023,2,LAX,DFW,264804.0,305347.0,1635.0,1661.0,0.8672231919750317,26.0,0.9843467790487658
2023,2,LAX,JFK,375422.0,406799.0,2511.0,2533.0,0.9228685419580678,22.0,0.9913146466640348
2023,2,LAX,ORD,309915.0,335317.0,1715.0,1730.0,0.9242448190816451,15.0,0.9913294797687862
2023,2,LAX,SEA,275309.0,312585.0,1951.0,1976.0,0.8807492362077515,25.0,0.9873481781376519
2023,2,ORD,ATL,225020.0,273386.0,1631.0,1645.0,0.8230853079528578,14.0,0.9914893617021276
2023,2,ORD,DEN,247553.0,288786.0,1561.0,1582.0,0.8572195328028367,21.0,0.9867256637168141
2023,2,ORD,DFW,206441.0,243210.0,1447.0,1469.0,0.848817894001069,22.0,0.9850238257317904
2023,2,ORD,JFK,60390.0,70444.0,655.0,663.0,0.8572767020612118,8.0,0.9879336349924586
2023,2,ORD,LAX,297883.0,334645.0,1720.0,1734.0,0.8901462744101959,14.0,0.9919261822376009
2023,2,ORD,SEA,195393.0,214251.0,1310.0,1333.0,0.9119817410420488,23.0,0.9827456864216054
2023,2,SEA,ATL,156337.0,176697.0,899.0,908.0,0.8847745009819069,9.0,0.9900881057268722
2023,2,SEA,DEN,230379.0,268770.0,1672.0,1710.0,0.8571603973657774,38.0,0.9777777777777777
2023,2,SEA,DFW,151235.0,173527.0,945.0,966.0,0.8715358416845793,21.0,0.9782608695652174
2023,2,SEA,JFK,124478.0,138915.0,778.0,795.0,0.896073138250009,17.0,0.9786163522012579
2023,2,SEA,LAX,258160.0,312084.0,1942.0,1975.0,0.8272131861934607,33.0,0.9832911392405064
2023,2,SEA,ORD,193264.0,213786.0,1302.0,1328.0,0.9040068105488667,26.0,0.9804216867469879
2023,3,ATL,DEN,247332.0,280929.0,1588.0,1608.0,0.8804075050991532,20.0,0.9875621890547264
2023,3,ATL,DFW,242836.0,313937.0,1661.0,1676.0,0.773518253662359,15.0,0.9910501193317423
2023,3,ATL,JFK,131700.0,149102.0,888.0,894.0,0.8832879505305093,6.0,0.9932885906040269
2023,3,ATL,LAX,265915.0,302631.0,1505.0,1515.0,0.8786773331218547,10.0,0.9933993399339934
2023,3,ATL,ORD,214985.0,259778.0,1556.0,1578.0,0.8275720037878497,22.0,0.9860583016476553
2023,3,ATL,SEA,179107.0,205428.0,1065.0,1076.0,0.871872383511498,11.0,0.9897769516728625
2023,3,DEN,ATL,243295.0,282179.0,1597.0,1615.0,0.8622009433728236,18.0,0.9888544891640867
2023,3,DEN,DFW,234196.0,274829.0,1615.0,1624.0,0.8521517016035426,9.0,0.9944581280788177
2023,3,DEN,JFK,59268.0,68727.0,387.0,400.0,0.8623685014623074,13.0,0.9675
2023,3,DEN,LAX,251173.0,301103.0,1855.0,1867.0,0.8341763449716543,12.0,0.9935725763256561
2023,3,DEN,ORD,286196.0,336679.0,1687.0,1693.0,0.8500559880479626,6.0,0.9964559952746603
2023,3,DEN,SEA,281603.0,318129.0,1908.0,1925.0,0.8851849407001562,17.0,0.9911688311688311
2023,3,DFW,ATL,237015.0,312588.0,1657.0,1675.0,0.7582344811701025,18.0,0.9892537313432835
2023,3,DFW,DEN,232451.0,273932.0,1614.0,1626.0,0.8485719083568185,12.0,0.992619926199262
2023,3,DFW,JFK,62023.0,70463.0,474.0,490.0,0.8802208251138895,16.0,0.9673469387755103
2023,3,DFW,LAX,263006.0,326946.0,1719.0,1732.0,0.8044325362598105,13.0,0.9924942263279446
2023,3,DFW,ORD,214501.0,254814.0,1487.0,1508.0,0.8417944069007197,21.0,0.9860742705570292
2023,3,DFW,SEA,192002.0,220027.0,1196.0,1206.0,0.8726292682261723,10.0,0.9917081260364843
2023,3,JFK,ATL,130435.0,147308.0,881.0,894.0,0.8854576805061504,13.0,0.9854586129753915
2023,3,JFK,DEN,58715.0,68056.0,383.0,400.0,0.8627453861525802,17.0,0.9575
2023,3,JFK,DFW,60629.0,69498.0,467.0,483.0,0.8723848168292613,16.0,0.9668737060041408
2023,3,JFK,LAX,371406.0,412218.0,2541.0,2579.0,0.9009941341717247,38.0,0.9852656068243505
2023,3,JFK,ORD,59983.0,67342.0,617.0,627.0,0.8907219862789938,10.0,0.9840510366826156
2023,3,JFK,SEA,138143.0,152764.0,847.0,872.0,0.9042902778141447,25.0,0.9713302752293578
2023,3,LAX,ATL,263113.0,300863.0,1497.0,1516.0,0.8745276089116973,19.0,0.987467018469657
2023,3,LAX,DEN,243014.0,294086.0,1839.0,1864.0,0.8263365138088858,25.0,0.9865879828326181
2023,3,LAX,DFW,266271.0,326691.0,1713.0,1727.0,0.8150545928721636,14.0,0.9918934568616097
2023,3,LAX,JFK,372330.0,409576.0,2523.0,2577.0,0.909062054417251,54.0,0.9790454016298021
2023,3,LAX,ORD,309380.0,345994.0,1760.0,1784.0,0.894177355676688,24.0,0.9865470852017937
2023,3,LAX,SEA,305121.0,350508.0,2171.0,2203.0,0.8705108014653018,32.0,0.9854743531547889
2023,3,ORD,ATL,216624.0,261518.0,1557.0,1582.0,0.8283330401731429,25.0,0.984197218710493
2023,3,ORD,DEN,297542.0,350442.0,1680.0,1698.0,0.8490477739540352,18.0,0.9893992932862191
2023,3,ORD,DFW,218544.0,253202.0,1490.0,1508.0,0.8631211443827458,18.0,0.9880636604774535
2023,3,ORD,JFK,62092.0,68495.0,627.0,635.0,0.9065187239944521,8.0,0.9874015748031496
2023,3,ORD,LAX,299386.0,344897.0,1778.0,1788.0,0.8680446626094167,10.0,0.9944071588366891
2023,3,ORD,SEA,239948.0,272375.0,1598.0,1621.0,0.8809472234970169,23.0,0.9858112276372609
2023,3,SEA,ATL,181951.0,204722.0,1062.0,1082.0,0.8887711139984955,20.0,0.9815157116451017
2023,3,SEA,DEN,287563.0,317854.0,1892.0,1920.0,0.904701529633102,28.0,0.9854166666666667
2023,3,SEA,DFW,196779.0,219023.0,1190.0,1205.0,0.8984398898745793,15.0,0.9875518672199171
2023,3,SEA,JFK,138673.0,150418.0,834.0,867.0,0.9219175896501749,33.0,0.9619377162629758
2023,3,SEA,LAX,311212.0,351444.0,2180.0,2197.0,0.8855237249746759,17.0,0.9922621756941283
2023,3,SEA,ORD,247120.0,270927.0,1587.0,1614.0,0.9121276210935049,27.0,0.983271375464684
2023,4,ATL,DEN,229576.0,270916.0,1571.0,1572.0,0.8474065762081235,1.0,0.9993638676844784
2023,4,ATL,DFW,242882.0,292903.0,1597.0,1600.0,0.8292233264937539,3.0,0.998125
2023,4,ATL,JFK,134321.0,160219.0,948.0,948.0,0.838358746465775,0.0,1.0
2023,4,ATL,LAX,266525.0,299646.0,1448.0,1448.0,0.8894662368261215,0.0,1.0
2023,4,ATL,ORD,192579.0,236050.0,1400.0,1401.0,0.8158398644355009,1.0,0.9992862241256245
2023,4,ATL,SEA,134837.0,161675.0,872.0,878.0,0.8340003092624092,6.0,0.9931662870159453
2023,4,DEN,ATL,230399.0,275391.0,1575.0,1574.0,0.8366250167943033,-1.0,1.0006353240152477
2023,4,DEN,DFW,228726.0,275669.0,1594.0,1598.0,0.8297124449974426,4.0,0.9974968710888611
2023,4,DEN,JFK,46158.0,59261.0,330.0,329.0,0.778893370007256,-1.0,1.0030395136778116
2023,4,DEN,LAX,245959.0,302470.0,1903.0,1901.0,0.8131682480907197,-2.0,1.0010520778537613
2023,4,DEN,ORD,239152.0,300069.0,1588.0,1583.0,0.796990025627439,-5.0,1.0031585596967783
2023,4,DEN,SEA,219024.0,265477.0,1639.0,1646.0,0.8250206232554986,7.0,0.9957472660996355
2023,4,DFW,ATL,243296.0,293070.0,1599.0,1601.0,0.8301634421810489,2.0,0.9987507807620237
2023,4,DFW,DEN,229174.0,272410.0,1602.0,1606.0,0.8412833596417165,4.0,0.9975093399750934
2023,4,DFW,JFK,61367.0,68961.0,466.0,465.0,0.8898797871260568,-1.0,1.0021505376344086
2023,4,DFW,LAX,280109.0,332805.0,1746.0,1756.0,0.841661032736888,10.0,0.9943052391799544
2023,4,DFW,ORD,220079.0,273764.0,1580.0,1585.0,0.8039004397948598,5.0,0.9968454258675079
2023,4,DFW,SEA,169592.0,204502.0,1106.0,1124.0,0.8292926230550313,18.0,0.9839857651245552
2023,4,JFK,ATL,135192.0,161733.0,954.0,947.0,0.8358961992914248,-7.0,1.0073917634635692
2023,4,JFK,DEN,46734.0,58918.0,328.0,329.0,0.7932041141926067,1.0,0.9969604863221885
2023,4,JFK,DFW,60110.0,69106.0,465.0,466.0,0.8698231702022979,1.0,0.9978540772532188
2023,4,JFK,LAX,357144.0,403830.0,2530.0,2530.0,0.8843919471064556,0.0,1.0
2023,4,JFK,ORD,65564.0,73501.0,702.0,702.0,0.8920150746248351,0.0,1.0
2023,4,JFK,SEA,125863.0,149304.0,821.0,824.0,0.8429981782135777,3.0,0.9963592233009708
2023,4,LAX,ATL,267287.0,298377.0,1445.0,1444.0,0.8958029606839669,-1.0,1.0006925207756232
2023,4,LAX,DEN,240128.0,297087.0,1889.0,1892.0,0.8082750170825381,3.0,0.9984143763213531
2023,4,LAX,DFW,274657.0,329342.0,1728.0,1738.0,0.8339567987077263,10.0,0.9942462600690449
2023,4,LAX,JFK,357192.0,402916.0,2526.0,2526.0,0.8865172889634564,0.0,1.0
2023,4,LAX,ORD,282613.0,320716.0,1619.0,1621.0,0.8811939535289789,2.0,0.9987661937075879
2023,4,LAX,SEA,243235.0,295764.0,1862.0,1871.0,0.8223955586210627,9.0,0.9951897381079636
2023,4,ORD,ATL,196743.0,234927.0,1400.0,1403.0,0.8374644038360852,3.0,0.9978617248752673
2023,4,ORD,DEN,246933.0,300327.0,1589.0,1586.0,0.8222137869722003,-3.0,1.0018915510718789
2023,4,ORD,DFW,229934.0,273999.0,1580.0,1586.0,0.8391782451760773,6.0,0.9962168978562421
2023,4,ORD,JFK,66503.0,74146.0,706.0,704.0,0.8969195910770642,-2.0,1.0028409090909092
2023,4,ORD,LAX,286919.0,323063.0,1621.0,1619.0,0.8881208928289529,-2.0,1.0012353304508956
2023,4,ORD,SEA,168612.0,191135.0,1130.0,1134.0,0.8821618227954063,4.0,0.9964726631393298
2023,4,SEA,ATL,136637.0,161931.0,874.0,878.0,0.84379766690751,4.0,0.9954441913439636
2023,4,SEA,DEN,219768.0,265550.0,1629.0,1639.0,0.8275955563923931,10.0,0.9938987187309335
2023,4,SEA,DFW,177807.0,204001.0,1105.0,1121.0,0.8715986686339773,16.0,0.9857270294380018
2023,4,SEA,JFK,126377.0,149859.0,825.0,828.0,0.8433060410118846,3.0,0.9963768115942029
2023,4,SEA,LAX,255875.0,296586.0,1874.0,1873.0,0.8627345862582859,-1.0,1.000533902829685
2023,4,SEA,ORD,165673.0,190340.0,1131.0,1135.0,0.8704055899968477,4.0,0.9964757709251101
2024,1,ATL,DEN,214723.0,247799.0,1418.0,1431.0,0.866520849559522,13.0,0.9909154437456325
